Super Bowl,Year,Performer,Time
57,2023,Chris Stapleton,2:01
56,2022,Mickey Guyton,1:52
55,2021,Jazmine Sullivan & Eric Church ,2:16
54,2020,Demi Lovato,1:49
53,2019,Gladys Knight,1:49
52,2018,Pink,1:53
51,2017,Luke Bryan,2:04
50,2016,Lady Gaga,2:09
49,2015,Idina Menzel,2:04
48,2014,Renee Fleming,1:54
47,2013,Alicia Keys,2:35
46,2012,Kelly Clarkson,1:34
45,2011,Christina Aguilera,1:54
44,2010,Carrie Underwood,1:47
43,2009,Jennifer Hudson,2:10
42,2008,Jordin Sparks,1:54
41,2007,Billy Joel,1:30
40,2006,Aaron Neville & Aretha Franklin,2:08
39,2005,US Military Academy Choirs,1:52
38,2004,Beyoncé,2:09
37,2003,Dixie Chicks,1:36
36,2002,Mariah Carey,1:56
35,2001,Backstreet Boys,1:50
34,2000,Faith Hill,2:01
33,1999,Cher,1:55
32,1998,Jewel,1:27
31,1997,Luther Vandross,1:53
30,1996,Vanessa Williams,1:35
29,1995,Kathie Lee Gifford,1:40
28,1994,Natalie Cole,2:33
27,1993,Garth Brooks,1:45
26,1992,Harry Connick Jr.,2:06
25,1991,Whitney Houston,1:54
